Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2012-11-01,0.0002877042563483917,0.002271684258834328,0.0005742859697819656,0.018978777951858677,0.023969430402177257,0.003506850809352492,-0.0039942950106591196,0.0032112877369504453,0.0038675183241484337,0.008697990668895284,0.01334183944710261,0.004875809484895033,0.0027082232978353,0.012921023712146035,0.0035219832179517654,0.0010218590326831227,0.0013781508967000457,-0.0013232470139810633,0.00019435761189178814,0.003818454038590929,0.004221666716310903,0.003452984647639967,0.007012658475292978,0.0014283061886214612,-0.0011598948835202763,0.0065537257019439785,0.005096771796872221,0.000620672810265099,0.022213227941526664,0.00254657380754813,-0.0012066258522372658,-0.002680234386635499,0.006816593968919331,0.022318650358116764,-0.0016048077575515588,0.001237822984874843,0.0013667350127818116,0.007117628290229616,0.001331402892577952,-0.0025530873956501315,0.00018700843036562097,0.002979313265610668,0.0006134399222588686,0.0008066036697434872,0.009580508112558365,0.0007286974565903306,-0.0031098971404684905,0.009985769515003047,0.004220302099086007,0.009302028837565396,0.0022950189881729296
2012-12-01,0.002100304865020974,0.0010054357806590652,0.0013545582724904383,0.020799691158954192,0.02518648627658556,0.0015202674185896513,-0.004885988039747774,0.0013155159173569141,0.0022958597994949107,0.011266445747376636,0.010972352711419017,0.0070615992791012,0.003028676101573432,0.010541296118170451,0.0030222725269223563,0.0004517786588902968,0.0029688255282922242,-0.001019284550107286,-0.0007127943877497181,0.0024150326794875497,0.00550034248494259,0.0029607462679338385,0.004744532145902694,0.0015432224027798827,-3.51988505094521e-05,0.004889429904645943,0.005743931813970793,0.000619111951131535,0.01943620876276541,0.0014647412869282297,-0.0015739236399157763,-0.0017342583000417478,0.003164228164464323,0.023929175014270162,0.00028890970539930316,0.001901403294021893,0.0006469349281609002,0.005609590288854952,0.001243128858813791,-0.0023865585241456804,0.0005799617047460605,0.0014935862658855981,0.00015749406075732603,0.0018835409920001625,0.011198515626509925,0.0010879368751009304,-0.003554790600805032,0.009534342470664751,0.0040195183938974526,0.010191503691560891,0.0012942776330462577
2013-01-01,0.002785769154307358,0.004272544585469354,0.0012479885466498077,0.018636399212262345,0.024484245251727103,-0.0017639464141977826,-0.003756446761916996,-0.0012751625361117746,0.0007748892235828258,0.010778733607998487,0.01106277641016349,0.008134856378120971,0.002115088394916029,0.009020496043396872,0.0027868353690289954,-0.0006172781781702318,0.0033433610145370725,0.0004404918105483204,-0.00043093172891160193,-0.0010460216326840391,0.004408125827807022,0.002884164508241845,0.002499786605182233,0.0027787464279637256,0.004576243179222018,0.005790302600851834,0.006431058315654029,0.0009581186472996071,0.017771049260510013,-0.0011595188662609753,-0.000590181953469213,0.0006102446702656492,0.0005667274324414333,0.025539144341820565,0.0006193207969843332,0.003251748667104562,-0.0014495172464314085,0.007014154590549304,-0.00019367900679736973,0.0007278205810283067,5.61485311534834e-05,-6.983336550102793e-05,0.0004003175699954578,0.0016658111992093284,0.013986282979893825,0.001948426490609739,0.0015355057503166434,0.007091905287288875,0.004074981200572932,0.008508325010429939,0.0009694897897515762
2013-02-01,0.0014866271589736245,0.006341656653846732,0.000448369202657028,0.01681201591549498,0.025743443155351778,-0.0016146099834809576,-0.0017599677310015948,-0.002913225650394491,0.003675869064889451,0.011398459342280318,0.012087198714982402,0.008112185485885893,-0.00039327184516857374,0.008076771072802283,0.0033994111111054,-0.0014086480124392978,0.0026183565496678473,0.0021322807266735727,0.0010023884335467821,-0.0002927379194483243,0.0014431918080383352,0.0029819673389691274,0.0009935934222784163,0.0017232232268226382,0.003811778247766368,0.003821625577672612,0.005946941783345521,0.0006122349721375472,0.016757455451943508,-0.003041646707629481,0.0009224929268495069,0.0010774587368739047,0.0008123093198327365,0.02723397278242339,0.0009059343762222731,0.0024788331377799365,-0.0019074835442246586,0.009722808281066732,-0.0007034034276303266,0.005606221401060489,-0.0012252069082904877,-0.000971330104144524,0.00025928129666501426,0.0012832045637058672,0.01587204501666716,0.002767295155778381,0.0038904498609611676,0.008272544186854079,0.004726937369044434,0.00622680671740361,0.0006188374123441628
2013-03-01,0.0004427990301918393,0.00476715918691057,0.0009412503651104404,0.018247601786051847,0.03153108197570542,0.000684458015304203,0.0012449295503498717,-0.0028093271700238313,0.010262058736927053,0.015055035217670952,0.012852441427407067,0.0067779774122455495,-0.0022706694035536288,0.008862260846431753,0.006160541220553965,1.8666941781919025e-05,0.0015117076551295619,0.002352593068078708,0.0023007998407025307,0.0035857466928795835,0.0022182418303844506,0.002749803272786423,0.0006601907646318246,-0.0010970701525335452,-0.0007836939894409907,8.765069176627203e-05,0.003576910929776511,0.000290567475140514,0.015927502402855932,-0.004012991545731964,0.002823463011876467,0.0015166876408325412,0.00044368504026210136,0.03127057274522704,0.0031906597541882043,2.739275935059824e-05,-0.0011049148854507139,0.014133000688609825,0.0009161953421438307,0.00019169814477975385,-0.0013740116497159272,-0.0015096749936202329,0.0007508863856871047,0.0013240780390131731,0.01571290377648371,0.0022049869449855047,-0.0024884715081764054,0.014834407587591686,0.005854708506365774,0.006819435390864021,-1.2702177831359733e-05
2013-04-01,0.0014067784204937015,0.005161689937285499,0.0035717675650192605,0.0196146612084908,0.03726449065948959,0.000769537231067343,0.00453942681408683,-0.0009146135523620258,0.009650495565988524,0.017720465890183012,0.014828535443666458,0.00603237898725857,-0.0022548044358396578,0.012832547404225195,0.008438804928184426,-0.0008030696026345965,0.0016321991641704595,0.00176974555661565,0.002688006684123646,0.006699113190293146,0.006494656869982148,0.00011239830835684667,0.0025567097230661407,-0.002367212453751117,0.00032789277917164017,0.001201476871570292,0.0029668808192987316,0.0015899530396771932,0.015437003405221226,-0.004087024108131434,0.00388477183037847,0.0025987039950341254,0.0007078343101445714,0.03803610477087359,0.004774301167650489,-0.0006380775293766735,0.0008323295210029575,0.019507797868057536,0.002124478797528506,8.23828687953861e-05,0.0004883043394158138,-0.0023756640028522818,0.0027953118715332193,0.001355496928672031,0.014615569871756278,0.0022416474082273975,-0.0060565737333552905,0.01993940440121663,0.0058626304833742,0.00816352044005508,-0.0006003832825757409
2013-05-01,0.0030899093364052535,0.003470464587533751,0.004852672746655159,0.021241292948266325,0.03905709645592036,0.0016615512190808809,0.0055621663276532295,0.0025291354216799705,0.003066292377456273,0.020158417796962737,0.01462871065261854,0.006560607855761454,-0.0020450509186908457,0.016151450059606495,0.009925302653043686,-0.0022135008874199532,0.002542002194224764,0.0020143932851511563,0.0015596634208614765,0.007275708784627327,0.009864230830254733,-0.0043522486887690726,0.0030986405756412046,-0.0012114350310719526,0.002128146469546988,0.0019115680261540412,0.006879491795840111,0.003069866939736276,0.014641618236698701,-0.0029586218093483976,0.004629934941525972,0.004025911260945413,0.000849232859650138,0.04537106319298006,0.004865928992904254,-0.00025732648087320236,0.002254483207189091,0.02078040970750364,0.0024952120701237147,0.005243090038200115,0.0028495684040523894,-0.0014400538115789232,0.004286895570252353,0.002580302112855072,0.01387877361837853,0.0028732735924872615,-0.004643017275791419,0.02142312711346467,0.00452481759089837,0.006362368643856737,-0.0025177415359533034
2013-06-01,0.004258729886952833,0.002101146001831705,0.0030375200951198757,0.023956418716920908,0.03870630694997952,0.0025888552204711493,0.0029203860927555746,0.003957334992464754,0.004943372959641741,0.02196664340046988,0.01174770331591657,0.007743712759824136,-0.002360102489875675,0.016736994755378175,0.012574181796815305,-0.0019995388281168853,0.0023852159587422522,0.0029763698067859804,-0.0003407951050359752,0.005735528061563881,0.011603438607497086,-0.005190783781828321,0.0025379539093070575,0.0009018021769522672,0.002282134190456431,0.0022053103331641653,0.01106550192824591,0.0035864214026894146,0.014151576123407124,-0.0011089408178711433,0.004654032686515439,0.005346317547028877,0.0007073336351290616,0.048841119004418176,0.0053941500835156374,0.0006576351534137333,0.0037848062428714846,0.017763174837541137,0.0020186702410556682,0.005262790971617572,0.003923631206860101,0.002013510948789078,0.004005748330571521,0.004332711232418882,0.014201047368967688,0.0020436932228292013,-0.0004457066334882199,0.01928930929192388,0.003875458420912994,0.004563322297037546,-0.0038877527577108498
2013-07-01,0.004172674151686706,0.00206719769741581,0.0013753010367247532,0.018660539708730932,0.03386315132543859,0.0035481733854571835,0.000572159294344194,0.005018674164892054,0.0018713424989453417,0.023137553151035398,0.004983285314165894,-7.92389533879282e-05,-0.0017099535234984197,0.016224515724426552,0.027844178205120876,-0.0020132009143743945,0.0016313884366220722,0.002407405293530031,0.0017208988483311915,0.00410743661078764,0.01182043443715732,-0.004004469426024728,0.002558223612546052,0.0023078387882816166,0.003582121150359636,0.0050647708477195505,0.010663042056142668,0.0015993140814594179,0.01383092087736442,0.0005876227437922469,0.003918186959143397,0.006180681441345391,0.005921500820956819,0.024261202098266127,0.0059654363648670985,0.0013031987354452995,0.004560795540795869,0.015620284692971073,0.00022127004872160268,0.00444470837189349,0.003492105131138456,0.003441499042722275,0.0032375081492271056,0.003984239260822603,0.01563749019203356,0.0007691020416072244,0.008516403941052212,0.017432155980311816,0.004956022682235331,0.0028827000878419197,-0.003640692948953771
2013-08-01,0.002863859719772037,0.00315852829085548,0.0016958525144984632,0.016109038484901268,0.027977575469421843,0.003465466732337951,0.00026364503225335435,0.008090969710759418,0.004251084405118608,0.02302521157775933,0.006275931663832712,-0.004067836565597751,-0.0002700306710513795,0.015099519560741249,0.028269499380739558,-0.001344248291176553,0.0027430054149165267,0.0012163222189724068,0.0015139781992491853,0.0031447215964600025,0.009878727108668101,-0.004548349264464862,0.004702561772855303,0.002759901070735692,0.0020309250567249774,0.009541270382691782,0.007346832626582905,0.001124516004807584,0.013799792782664414,0.0015072018097600495,0.003974383923085116,0.005893110061839019,0.005921500820956819,0.014548764265210382,0.0057573829550694585,0.00046953636393811445,0.00356633690378224,0.014104642997969364,-0.00020848602759119704,0.0018165214843787877,0.0023479755855622102,0.00157195675656742,0.002427159038020911,0.0033172458360078948,0.016415743608684363,0.0006359077996255253,0.006339890015877196,0.01636263698512484,0.0061863041729502315,0.0016805891948000738,-0.002504745289115424
